Position,Points
President,200
Secretary of State,100
Secretary of Defense,100
Secretary of Treasury,90
Vice President,90
Attorney General,85
Military Supreme Commander,85
Secretary of Homeland Security,75
Presidential Chief of Staff,75
Governor,65
Speaker of the House,55
Senate Leadership,50
CIA Director,50
General/Admiral,45
Other Cabinent Rank or Under Secretary of major department,40
Senator,35
"Other Executive Experience (CEO, Mayor, President of University)",30
Ambassador,25
Congressman,20
Millitary Battle Experience,15
Millitary Non-Battle Experience,10
Close Relative of President,10